"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"2360","0","0.0702819226791484","0","","0.0622630986797856","0.0562297101251136","0.303541231826297","0.0723452698862335","0","0.0508866966544491","0","0.104374483309051","0","0.243145803923114","0.106652912197994","0.0444650726116657","0","0.163892147747983","0","","0","0","0","0.113352290585753","0","0.28870877059327","0","0.259135653428498","0.14491155994063","","0.187691909832678","0.324500167181237","0","0.11282686480003","0.137595763595338","0.0867363567156102","0","0","0.0984122625687065"
"2363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2373","0","","","","","0.0672073582361156","","0.278033193724278","0","0.0728814407299672","0","0.253996099686499","0.103714444119584","0.268898719811073","0","0.100479091057365","0.135098050034026","0","0.0644672670063067","0.150976425024117","0.0402744252597213","0.32077865672447","0","0.16655514613439","0.0599424692242247","0.0769890054915387","0.0789300410080183","0.222781971288112","0.105291560917326","0.336687852362986","0.192159109434706","0.275718649414794","0.0377919106542733","0","0.137961224434499","0.0784003243221997","0.393451753016806","0.181825448279875","0.0705750910388678"
"2379","0.0681492334541019","0","0.20558540578951","0.0833269675791733","0.140697837522895","0.149843993625526","","0.122610622228491","0.0532232290895104","0","0.0374442288601845","0.0750656015372829","0","0.0784920064788018","0.0519395298047026","0.164437202602895","","0","0.294348715117251","0.163760594193318","0.048467988675085","0.241332714084432","0.0825157354648095","0.171686843909186","0.187483032711352","0","0.127806073115299","0.158679632927647","0.206322670344036","0.178608446133822","0","0.118456616342213","0","0.193286040105331","0.137961224434499","0.137836264343886","0.0941809077512865","0.286399153078991",""
"2389","0","0.0702819226791484","0","","0.312022388513166","0","","0.122610622228491","0","0.138653338660747","0","0.104374483309051","0.176895950261755","","0","0.100479091057365","0","0","0","0.266555725318341","0","0.243671530087123","0","0.0853818848394925","0","0.0769890054915387","0","0.240679619678772","0.104047124152186","0.336687852362986","0.170455532976342","0.275718649414794","0.123252414977398","0","0.137961224434499","0.179686567507479","0","0","0"
"2410","0","0","0","0.204111266931108","0","0.118136583496423","0.0822536194598423","0.0723452698862335","0","0.0508866966544491","0","0","0","0.12736208776925","0.0682169916859094","","0","0.161895689454428","0","","0","0","0","0.113352290585753","0","","0","0.226443498489835","0.219697048991836","0.0790397031145821","0.189739340379101","0.272687822725304","0","0.179372377234483","0.234129822162325","0.0867363567156102","0","0.192825625388069","0.0984122625687065"
"2425","0.0733989707260446","0","0","0","0","0","0","0","0.216586501471519","0","0.282300680883418","0.0808481271249915","0","0","0","0","0.0583690287420703","0","0.12533869230087","0","","0","0.139912236680653","0","0","0","0.0767287693631499","0","0","0","0","0","0","0","0","0","0","0","0"
"2465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2494","0.0890093262103237","0.258041188675272","","0.0587649812684705","0.223255910543671","0.0672073582361156","0","0","0","0","0.0489056943473158","0.0935635264016044","0","0","0","0","0.205880894377635","0","0.115132430470353","0","0.0402744252597213","0.0726047192071243","0.0678674035471469","0","0","0","0.0789300410080183","0.0659607619988761","0.0541257632075992","0","0","0","0","0","0","0","","0.125452361255042","0.0705750910388678"
"2516","0.138711016449446","0","0","0","0.0607625625436045","0.128040682496938","0","0","0.068218335741329","0","0.0508093467048796","0","0.0739169363724183","0","0.0887639562168113","0","0.0551535479713926","0","0.0526373030924043","0.12293384775776","0","0","0.0881364246742419","0.147494011535359","0.112142091377145","0.0939169700942845","0.0805576357694152","0.0685282822388326","0.203290102755899","0","0","0","0","","0","0","0","0","0.201685121861645"
"2579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
